Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2214.61,33.83,22.04,82.58,8.75,37.27,5.97,76.22,40.07,99.59,215.88,IR64,8.38,1.17
2011,2484.08,34.53,22.22,84.23,9.4,38.53,6.06,83.25,46.77,116.36,246.39,NSIC Rc222,7.58,1.35
2012,2405.36,34.24,21.92,85.65,9.18,40.57,5.95,84.2,52.38,116.66,253.24,Tubigan 18,2.87,1.59
2013,2702.76,35.07,21.71,84.93,9.1,37.65,6.03,105.9,51.32,140.44,297.65,Rc160,6.72,1.21
2014,2523.58,35.19,21.76,82.42,9.59,38.69,6.1,95.8,58.82,128.48,283.11,IR64,3.86,1.41
2015,2580.84,33.81,21.82,82.85,8.79,39.25,5.94,121.05,58.43,135.79,315.26,Tubigan 18,4.7,1.66
2016,2673.95,33.66,21.82,84.3,8.96,37.3,6.0,114.65,62.1,147.85,324.59,PSB Rc82,6.14,1.48
2017,2720.94,35.17,21.83,85.51,8.93,40.54,6.03,129.31,77.9,155.5,362.71,Tubigan 18,8.22,1.61
2018,2902.62,34.38,21.52,82.4,9.35,38.73,5.91,131.56,79.1,187.53,398.18,NSIC Rc222,3.92,1.61
2019,2913.44,35.45,22.09,83.23,9.56,37.5,6.06,130.73,74.87,184.81,390.41,NSIC Rc222,2.0,1.65
2020,3126.31,33.6,21.96,85.13,8.35,39.5,5.99,165.74,85.59,207.52,458.85,PSB Rc82,5.77,1.49
