Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2439.81,31.46,21.89,86.83,7.78,32.61,6.01,86.88,59.26,123.92,270.06,IR64,5.48,1.14
2011,2845.37,31.34,21.98,89.16,8.12,33.7,5.99,97.69,59.16,129.01,285.86,NSIC Rc222,7.0,1.21
2012,2637.94,30.6,21.89,89.56,8.03,34.33,6.03,114.35,68.33,150.45,333.13,IR64,8.27,1.14
2013,2916.53,30.56,22.45,87.22,8.19,34.69,6.09,112.83,68.15,150.41,331.39,Rc160,10.0,1.03
2014,2791.76,30.53,21.51,88.07,8.22,34.57,6.05,126.45,70.77,158.23,355.45,Tubigan 18,9.03,1.27
2015,3071.97,32.12,22.43,87.63,8.6,34.83,6.08,147.93,78.33,188.26,414.53,Rc160,4.53,1.17
2016,3103.89,31.2,21.51,87.99,7.85,33.47,5.94,151.56,86.81,202.81,441.17,NSIC Rc222,9.39,1.22
2017,3110.66,31.09,21.97,86.71,8.12,34.37,6.05,160.41,89.37,222.0,471.78,Rc160,8.89,1.1
2018,3083.4,32.34,22.23,86.84,7.94,34.28,5.98,166.25,89.07,201.84,457.17,IR64,8.7,1.19
2019,3505.37,31.59,21.79,87.11,8.37,32.29,5.93,160.36,104.8,205.63,470.8,IR64,7.41,1.18
2020,3199.83,31.84,22.32,89.67,8.08,32.46,6.06,169.36,110.23,250.58,530.17,NSIC Rc222,10.09,1.33
