Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2722.49,36.52,23.46,87.1,9.38,42.42,6.24,70.87,44.72,107.49,223.08,Rc160,2.63,1.29
2011,2595.19,36.6,22.62,86.16,9.69,42.9,6.3,80.97,45.56,119.21,245.73,Tubigan 18,6.31,1.5
2012,2885.19,35.71,23.17,85.47,9.1,43.78,6.29,85.93,51.84,116.41,254.19,Rc160,8.64,1.16
2013,2786.33,35.56,22.99,87.08,9.65,42.26,6.29,110.83,58.42,121.62,290.87,Tubigan 18,3.63,1.61
2014,2812.28,35.83,23.0,87.5,9.43,41.03,6.25,98.32,62.22,134.65,295.18,PSB Rc82,6.02,1.4
2015,2929.91,36.45,23.0,86.92,9.21,42.06,6.24,113.47,63.58,150.37,327.41,Rc160,4.99,1.32
2016,2976.89,36.77,22.59,85.45,9.98,40.42,6.26,129.82,72.28,161.56,363.65,NSIC Rc222,1.84,1.58
2017,3251.91,36.27,22.73,86.95,9.51,43.36,6.12,120.97,80.23,191.04,392.24,PSB Rc82,7.22,1.39
2018,3178.9,36.27,23.18,84.64,9.69,40.2,6.25,142.52,76.28,186.88,405.68,Tubigan 18,5.45,1.59
2019,3401.47,36.71,23.13,84.47,9.75,40.91,6.21,140.54,84.62,175.89,401.05,IR64,6.66,1.37
2020,3677.38,35.9,23.0,84.9,8.97,42.39,6.22,151.01,90.79,199.88,441.68,Tubigan 18,7.27,1.55
