Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2952.23,30.69,24.13,86.34,8.08,30.76,6.38,81.22,44.49,109.83,235.55,IR64,10.51,0.71
2011,3179.17,29.11,24.26,86.63,7.69,30.01,6.32,91.34,48.26,109.16,248.76,Rc160,10.39,0.65
2012,3108.32,30.06,23.51,88.31,7.25,28.56,6.31,91.65,48.88,138.13,278.66,NSIC Rc222,10.96,0.78
2013,3344.19,30.52,23.67,86.54,8.01,31.64,6.34,106.72,53.79,146.59,307.11,NSIC Rc222,8.38,0.81
2014,3199.56,29.48,24.47,89.75,7.0,28.56,6.41,105.8,65.21,138.81,309.82,Rc160,7.11,0.73
2015,3392.48,29.14,24.07,86.93,6.96,30.85,6.44,108.14,72.59,145.86,326.6,Rc160,8.01,0.73
2016,3511.54,30.96,24.28,88.84,7.78,30.62,6.43,125.95,70.6,153.77,350.32,IR64,7.51,0.8
2017,3406.38,29.56,23.6,88.96,7.79,30.13,6.42,129.18,76.99,168.92,375.08,NSIC Rc222,9.45,0.85
2018,3792.29,30.27,24.29,88.66,7.89,30.29,6.34,145.11,73.08,180.59,398.78,NSIC Rc222,6.34,0.88
2019,3618.29,30.25,24.05,87.68,7.37,28.98,6.35,146.85,80.07,197.79,424.71,Rc160,11.45,0.72
2020,3850.56,30.09,24.09,88.88,7.73,30.17,6.34,160.58,82.08,218.36,461.02,Rc160,7.95,0.77
