Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3103.04,31.99,24.67,88.98,7.84,34.2,6.52,80.88,47.31,98.66,226.86,IR64,9.8,0.74
2011,3374.49,31.98,25.49,89.07,8.29,31.91,6.68,87.91,51.7,121.17,260.78,Rc160,5.91,0.75
2012,3495.57,31.74,25.23,91.49,8.2,32.08,6.65,105.82,60.27,120.84,286.93,Rc160,4.72,0.78
2013,3575.9,30.75,25.29,91.1,8.21,31.46,6.68,114.6,54.94,131.4,300.94,NSIC Rc222,9.72,0.84
2014,3565.52,31.83,24.57,91.24,8.22,31.14,6.56,118.67,69.04,155.96,343.68,NSIC Rc222,5.36,0.92
2015,3748.14,32.08,24.52,91.78,8.56,31.06,6.63,131.05,66.75,157.15,354.94,Tubigan 18,6.98,0.95
2016,3885.23,30.77,25.27,90.81,8.25,31.07,6.69,143.14,76.6,172.8,392.53,Rc160,8.21,0.74
2017,3611.38,30.5,25.08,91.77,7.96,32.04,6.56,143.74,79.45,170.92,394.11,Rc160,7.14,0.83
2018,4144.84,31.3,24.6,89.23,8.18,33.54,6.67,150.76,81.89,182.02,414.67,IR64,5.92,0.83
2019,4184.18,32.24,25.09,90.43,8.74,34.21,6.6,148.8,87.06,200.65,436.52,NSIC Rc222,3.98,0.98
2020,4355.04,30.77,25.5,89.08,7.99,33.97,6.56,178.49,91.86,216.02,486.37,Rc160,8.69,0.77
