Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3434.95,32.76,22.32,80.87,8.75,37.26,6.0,80.4,44.86,110.58,235.84,Tubigan 18,8.16,0.89
2011,3537.98,32.06,21.52,80.76,7.9,36.82,6.01,94.21,56.83,128.66,279.7,PSB Rc82,7.98,0.81
2012,3449.51,33.57,21.6,79.29,8.72,34.76,6.02,91.83,59.39,131.7,282.92,NSIC Rc222,9.12,0.87
2013,4034.12,33.66,21.72,78.45,8.24,34.03,6.05,105.51,67.65,149.62,322.78,Tubigan 18,5.22,0.94
2014,3935.02,32.76,21.99,80.81,8.49,36.54,5.91,124.93,65.62,144.3,334.85,NSIC Rc222,6.49,0.91
2015,4081.23,32.2,21.77,80.88,8.28,35.4,5.91,135.32,65.72,165.59,366.62,NSIC Rc222,6.69,0.9
2016,3973.46,33.55,22.08,78.87,8.57,34.56,6.03,121.48,78.54,158.46,358.48,NSIC Rc222,6.65,0.95
2017,4076.34,33.12,22.06,80.68,8.18,37.39,6.08,156.5,82.95,186.25,425.7,Rc160,8.99,0.78
2018,4185.5,32.47,22.45,78.86,8.52,36.4,5.92,162.1,93.2,192.06,447.36,NSIC Rc222,4.41,1.0
2019,4461.29,33.98,21.86,79.98,8.54,37.23,6.03,154.5,88.12,193.91,436.54,PSB Rc82,8.46,0.87
2020,4539.49,33.95,22.32,80.16,8.9,35.24,6.06,179.63,91.42,236.35,507.41,Rc160,7.7,0.8
