Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3914.8,35.05,23.25,83.62,9.37,40.24,6.18,91.87,48.61,122.6,263.09,IR64,2.85,0.84
2011,3702.82,34.24,22.94,81.09,8.54,37.55,6.13,86.65,59.36,120.05,266.06,Rc160,7.14,0.78
2012,4176.32,34.7,22.62,81.04,9.01,40.73,6.15,109.84,59.87,142.94,312.65,PSB Rc82,7.14,0.8
2013,4291.63,34.95,22.6,81.89,9.3,38.29,6.29,103.78,61.17,148.84,313.79,Tubigan 18,6.18,0.91
2014,4039.74,33.65,22.53,81.13,8.93,39.5,6.19,122.39,66.47,161.18,350.04,PSB Rc82,3.42,0.96
2015,4377.81,33.59,22.68,82.04,9.16,40.33,6.19,132.14,77.26,167.28,376.68,IR64,3.76,0.88
2016,4545.86,33.97,22.65,80.42,8.79,38.93,6.13,146.5,72.18,165.76,384.44,Tubigan 18,9.09,0.88
2017,4554.58,34.36,23.46,83.26,9.35,39.24,6.14,137.08,78.28,172.69,388.05,Tubigan 18,7.89,0.92
2018,4612.59,35.42,23.09,80.7,9.41,37.75,6.26,143.45,81.88,217.51,442.84,IR64,4.2,0.87
2019,4460.44,33.66,22.75,81.56,8.71,40.18,6.24,153.22,91.76,217.33,462.31,IR64,9.34,0.85
2020,5056.19,34.84,23.44,82.99,8.76,37.62,6.23,168.34,95.77,205.98,470.09,Rc160,8.07,0.76
