Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2139.87,36.86,24.39,84.88,9.83,42.19,6.45,91.51,55.63,121.53,268.67,NSIC Rc222,4.79,1.08
2011,1915.95,35.77,23.72,83.65,9.09,42.43,6.34,93.57,53.64,138.76,285.97,Rc160,2.89,1.0
2012,2010.43,36.38,24.16,83.87,9.55,41.06,6.48,109.7,63.8,135.49,308.99,PSB Rc82,6.91,1.03
2013,2273.77,36.96,23.77,84.06,9.82,43.73,6.3,106.72,66.96,164.29,337.97,NSIC Rc222,6.44,1.15
2014,2267.74,35.53,23.71,83.53,9.73,43.95,6.45,116.32,66.43,163.71,346.47,PSB Rc82,6.91,1.14
2015,2400.94,36.51,23.9,85.31,9.1,40.87,6.31,131.0,72.82,184.98,388.8,Rc160,6.24,1.06
2016,2351.25,35.01,23.74,83.39,9.58,42.3,6.38,131.1,85.05,173.84,390.0,Rc160,5.92,1.11
2017,2324.6,36.58,23.87,83.27,9.66,40.8,6.48,143.32,88.76,194.03,426.12,IR64,7.5,1.14
2018,2553.71,36.63,23.63,83.46,9.57,40.95,6.48,158.79,87.6,213.81,460.2,Rc160,5.44,1.17
2019,2674.68,35.9,23.61,82.89,9.55,41.66,6.5,170.1,104.09,207.48,481.66,Rc160,5.15,1.19
2020,2564.26,36.17,24.29,85.36,9.17,42.32,6.39,187.14,101.85,208.99,497.99,PSB Rc82,3.21,1.37
