Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2213.91,29.73,24.97,84.9,7.32,29.66,6.63,86.94,48.53,125.92,261.39,Rc160,8.19,0.95
2011,2465.99,30.6,24.91,84.37,7.73,29.89,6.54,96.03,52.76,130.04,278.83,PSB Rc82,11.13,1.07
2012,2413.9,29.8,24.62,84.42,7.11,30.27,6.56,98.69,58.97,140.78,298.44,NSIC Rc222,12.77,1.06
2013,2634.76,30.72,24.94,86.03,7.32,28.17,6.52,120.96,69.3,139.74,329.99,PSB Rc82,11.69,1.07
2014,2702.05,29.36,25.08,85.38,7.28,30.05,6.54,135.69,78.97,173.06,387.72,Tubigan 18,6.91,1.29
2015,2591.39,29.78,25.13,85.37,7.4,31.34,6.53,131.5,82.17,185.28,398.95,IR64,7.85,1.16
2016,2585.91,29.1,24.88,86.77,7.49,29.06,6.67,134.21,85.27,187.38,406.86,Rc160,7.26,1.11
2017,2983.78,30.35,25.44,86.9,8.13,29.69,6.52,146.12,83.64,208.94,438.7,NSIC Rc222,8.39,1.27
2018,2849.52,30.43,24.56,85.38,7.5,29.0,6.69,169.11,96.77,229.55,495.43,IR64,11.31,1.11
2019,3018.33,29.63,25.1,85.77,7.62,29.63,6.67,170.51,95.21,207.3,473.02,NSIC Rc222,10.47,1.25
2020,2868.62,29.55,24.52,87.56,7.31,30.01,6.59,194.35,103.06,234.82,532.23,IR64,10.72,1.16
