Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2799.78,32.87,23.25,89.78,8.03,36.44,6.19,90.59,60.67,118.45,269.71,IR64,10.31,1.04
2011,2805.37,33.33,23.43,90.3,8.76,35.68,6.16,99.29,57.81,135.22,292.32,PSB Rc82,7.19,1.21
2012,3280.96,32.11,22.71,91.3,8.4,35.72,6.19,124.08,70.2,156.73,351.01,Rc160,8.28,1.01
2013,3029.89,32.47,22.58,90.44,8.24,37.7,6.23,117.48,74.89,172.9,365.26,PSB Rc82,9.17,1.2
2014,3371.42,32.1,22.67,89.09,8.58,35.38,6.28,143.69,73.56,165.57,382.83,IR64,9.83,1.1
2015,3509.84,32.76,23.42,89.66,8.4,34.78,6.24,149.0,87.59,189.65,426.24,IR64,9.72,1.07
2016,3262.49,33.79,22.84,90.74,8.9,34.03,6.27,137.15,97.58,183.2,417.94,PSB Rc82,9.2,1.25
2017,3627.23,32.6,22.89,88.64,8.68,37.47,6.13,152.93,96.05,203.37,452.35,Rc160,7.36,1.12
2018,3548.81,32.18,22.51,88.37,8.09,35.28,6.25,164.69,104.96,211.74,481.39,IR64,7.99,1.19
2019,3864.39,32.86,23.31,90.75,8.65,37.88,6.26,166.59,100.64,231.71,498.95,Rc160,7.84,1.11
2020,3898.57,33.55,22.73,91.32,8.59,36.6,6.3,181.27,119.34,252.52,553.13,IR64,5.51,1.26
