Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3300.5,35.11,24.17,81.46,9.35,37.48,6.34,89.55,53.84,123.81,267.2,IR64,5.72,1.08
2011,3094.09,34.52,23.71,80.95,8.94,37.81,6.4,110.6,65.5,132.66,308.76,NSIC Rc222,5.98,1.28
2012,3315.4,34.96,23.67,78.88,8.92,39.93,6.33,106.01,63.13,146.71,315.85,IR64,5.08,1.2
2013,3490.45,35.13,23.88,79.61,9.19,37.45,6.4,114.9,76.91,150.24,342.05,Rc160,8.22,1.04
2014,3381.38,34.06,24.33,80.64,9.15,38.08,6.49,144.73,82.34,181.07,408.14,Tubigan 18,7.97,1.34
2015,3905.37,34.36,23.75,79.77,8.86,38.5,6.43,144.85,93.59,201.11,439.55,NSIC Rc222,4.56,1.28
2016,3808.95,33.6,23.75,81.45,8.74,40.65,6.3,162.9,82.55,194.15,439.61,Tubigan 18,4.69,1.42
2017,3860.89,34.73,24.41,80.25,8.77,39.31,6.35,168.97,99.73,199.07,467.77,PSB Rc82,7.47,1.25
2018,3963.69,34.19,24.34,79.56,8.76,38.96,6.5,177.0,107.67,215.53,500.21,Tubigan 18,8.62,1.32
2019,4066.7,34.47,23.95,81.33,9.06,39.96,6.33,191.27,109.92,252.24,553.43,NSIC Rc222,3.41,1.41
2020,4118.2,35.06,23.67,81.08,9.36,40.02,6.35,183.06,117.26,261.08,561.4,Tubigan 18,3.21,1.47
