Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3748.97,35.74,25.22,82.61,9.47,41.11,6.68,94.73,53.16,116.4,264.29,Rc160,2.12,1.09
2011,3380.74,35.6,24.51,80.68,9.46,43.04,6.55,116.39,65.97,149.3,331.66,IR64,7.4,1.1
2012,3621.48,36.51,24.66,80.85,9.81,42.37,6.68,119.86,66.93,164.54,351.32,Rc160,1.54,1.15
2013,3718.07,35.7,24.74,80.9,9.12,42.2,6.66,134.9,83.22,157.25,375.37,PSB Rc82,7.12,1.17
2014,3848.98,35.19,25.32,82.73,9.27,42.05,6.59,134.98,87.5,162.33,384.81,Rc160,7.18,1.04
2015,4004.31,35.63,25.22,81.39,9.4,43.36,6.6,152.81,90.93,194.21,437.94,Tubigan 18,7.84,1.25
2016,4158.98,35.88,25.04,81.65,9.42,40.99,6.62,169.86,99.27,213.86,482.99,Rc160,7.98,1.01
2017,4231.05,35.11,25.19,83.38,8.73,40.73,6.56,164.36,102.03,220.78,487.18,IR64,3.7,1.22
2018,4207.34,36.57,25.16,82.14,9.68,40.92,6.59,187.22,110.89,217.85,515.95,PSB Rc82,4.81,1.28
2019,4433.3,36.32,25.15,83.46,9.99,41.91,6.6,179.79,108.28,262.17,550.25,Tubigan 18,6.6,1.3
2020,4503.94,36.21,24.58,82.48,9.66,43.61,6.68,196.05,122.34,237.15,555.54,PSB Rc82,2.96,1.32
