Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3952.44,30.28,22.14,82.66,8.17,30.73,5.93,94.7,61.37,128.23,284.3,NSIC Rc222,9.53,0.65
2011,3758.39,29.8,22.31,82.51,7.4,29.64,6.02,104.41,63.93,137.12,305.46,Rc160,6.87,0.64
2012,3771.54,30.61,22.47,83.11,7.33,29.23,6.09,130.33,65.86,144.91,341.11,Tubigan 18,9.8,0.73
2013,4078.33,30.23,21.99,85.11,7.76,29.62,5.91,119.59,79.2,179.92,378.7,IR64,9.75,0.63
2014,4359.42,29.99,21.61,85.62,7.95,31.57,6.1,137.76,75.84,165.88,379.48,Rc160,9.71,0.57
2015,4001.56,30.71,21.68,84.14,7.88,28.83,5.95,145.33,88.81,201.01,435.15,Tubigan 18,10.16,0.75
2016,4371.08,29.84,22.4,83.12,7.81,30.81,5.94,166.56,89.36,222.73,478.65,Rc160,9.45,0.62
2017,4701.82,30.97,21.87,83.89,7.82,30.37,6.03,159.16,110.53,214.59,484.28,Rc160,7.36,0.63
2018,4823.06,30.6,22.14,83.09,8.0,30.66,5.97,172.72,118.38,249.65,540.75,IR64,10.12,0.63
2019,4654.74,30.55,21.62,84.39,8.14,29.56,6.0,180.35,110.56,250.86,541.77,NSIC Rc222,10.57,0.73
2020,4964.99,30.42,22.07,83.32,8.12,28.5,6.09,219.55,114.95,243.85,578.35,PSB Rc82,7.84,0.72
