Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2045.67,31.44,22.66,86.97,7.92,34.08,6.14,95.52,55.98,139.6,291.1,NSIC Rc222,7.6,0.89
2011,1972.14,32.26,22.61,86.64,7.8,31.51,6.26,121.31,67.96,147.1,336.37,PSB Rc82,9.08,0.82
2012,2142.18,31.76,22.88,86.23,8.0,32.46,6.12,115.29,75.89,159.51,350.69,PSB Rc82,7.7,0.9
2013,2117.47,31.59,22.95,85.47,8.21,32.17,6.14,136.29,78.69,158.54,373.53,IR64,8.67,0.87
2014,2283.26,31.24,22.95,87.66,8.0,33.0,6.14,147.88,81.1,169.46,398.44,Rc160,5.23,0.92
2015,2294.51,30.73,22.92,85.23,7.78,32.19,6.18,150.63,99.06,216.96,466.65,Tubigan 18,6.22,1.11
2016,2316.04,30.88,22.67,86.25,8.13,32.7,6.24,170.46,107.93,218.74,497.13,Tubigan 18,5.1,1.16
2017,2456.83,30.91,23.13,85.9,8.34,31.3,6.22,161.58,94.47,205.4,461.45,NSIC Rc222,7.2,1.09
2018,2485.37,30.59,23.43,85.92,7.86,32.1,6.23,170.23,114.0,242.7,526.93,IR64,9.83,0.99
2019,2547.21,31.0,22.8,85.2,7.41,31.41,6.23,210.22,122.37,262.06,594.65,Tubigan 18,10.13,1.15
2020,2559.48,31.11,23.02,84.44,8.27,34.61,6.2,201.16,114.87,247.02,563.05,Rc160,9.93,0.98
