Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2331.91,32.54,23.51,88.19,8.45,34.54,6.49,104.54,60.69,145.96,311.18,Rc160,6.08,0.89
2011,2442.76,32.19,23.91,86.85,8.14,34.6,6.36,104.61,74.45,141.36,320.42,Tubigan 18,7.02,1.09
2012,2533.84,33.83,24.36,87.39,8.67,37.31,6.31,128.9,75.0,147.62,351.52,IR64,4.57,1.02
2013,2643.69,32.68,23.77,87.85,8.56,35.75,6.48,135.25,78.81,164.79,378.85,NSIC Rc222,7.81,1.06
2014,2533.12,32.66,24.09,86.68,8.72,35.21,6.47,152.92,82.52,175.96,411.4,Tubigan 18,3.71,1.25
2015,2505.57,33.97,24.24,87.22,9.13,36.71,6.38,144.26,92.83,218.02,455.1,Rc160,7.27,1.0
2016,2762.79,32.59,24.06,86.52,8.43,35.31,6.41,173.15,92.32,200.8,466.27,IR64,5.81,1.06
2017,2673.08,33.2,24.38,88.78,8.31,34.03,6.41,191.33,114.71,223.98,530.02,Tubigan 18,6.62,1.25
2018,2867.95,33.66,24.29,87.39,8.54,34.14,6.33,201.65,111.9,233.68,547.22,Rc160,5.37,1.02
2019,3131.89,32.23,24.35,86.25,8.32,36.58,6.3,180.5,120.52,258.13,559.16,PSB Rc82,9.37,1.07
2020,2960.77,32.66,23.99,89.0,8.86,34.65,6.45,227.34,138.19,272.87,638.4,IR64,6.99,1.09
