Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2439.57,34.69,25.1,90.02,8.91,39.36,6.62,115.17,67.24,127.71,310.12,Rc160,5.17,0.96
2011,2646.9,34.66,25.21,89.29,8.74,37.35,6.53,119.74,65.82,137.94,323.49,NSIC Rc222,5.47,1.09
2012,2660.99,34.65,25.44,88.63,9.24,38.38,6.65,135.77,82.56,177.73,396.07,Rc160,7.29,0.93
2013,2881.78,34.23,25.24,89.44,8.57,40.57,6.62,135.13,85.78,174.83,395.74,Rc160,7.3,0.94
2014,2918.42,34.61,24.81,88.27,9.02,39.96,6.55,135.45,94.9,176.7,407.05,PSB Rc82,4.54,1.12
2015,2769.55,34.6,24.59,91.77,8.62,40.47,6.58,165.76,91.81,213.61,471.19,Rc160,6.87,0.99
2016,3353.14,34.98,25.32,90.19,9.09,40.11,6.6,160.54,111.8,216.72,489.06,NSIC Rc222,6.3,1.11
2017,3135.13,34.27,24.58,91.79,9.32,39.1,6.57,194.42,118.14,219.69,532.25,Tubigan 18,6.88,1.21
2018,3405.13,35.29,24.51,91.43,9.03,39.6,6.63,207.13,127.39,240.53,575.05,Tubigan 18,7.78,1.14
2019,3282.32,34.43,25.34,89.36,9.18,39.79,6.56,185.11,114.43,282.79,582.34,Rc160,6.29,1.03
2020,3249.25,34.22,24.8,88.97,8.65,40.36,6.67,227.47,125.88,272.43,625.77,Rc160,6.94,1.06
