Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2942.9,35.51,22.27,79.14,9.49,41.75,5.92,118.51,72.58,140.33,331.42,NSIC Rc222,5.95,1.08
2011,2871.22,35.66,22.35,79.03,8.92,43.78,5.9,125.83,75.58,168.57,369.98,PSB Rc82,5.5,1.08
2012,3232.46,35.05,22.4,80.29,8.94,40.42,6.02,118.74,79.21,160.72,358.67,IR64,7.61,0.95
2013,3062.67,36.11,22.34,78.94,8.99,41.15,5.92,135.87,77.45,188.71,402.02,IR64,3.42,1.09
2014,3197.75,36.93,21.61,80.0,9.95,42.34,6.0,145.34,91.35,206.24,442.93,IR64,6.31,0.99
2015,3197.9,36.87,21.89,79.31,9.36,42.65,6.05,161.16,92.54,189.07,442.77,PSB Rc82,4.68,1.14
2016,3365.37,36.69,21.97,78.45,9.3,40.01,6.02,189.03,112.17,228.22,529.42,Rc160,2.57,1.08
2017,3465.86,35.45,22.46,79.46,8.93,42.16,6.04,180.66,105.95,240.6,527.21,NSIC Rc222,5.24,1.21
2018,3626.95,35.68,22.0,79.96,9.17,41.23,6.05,192.17,110.23,268.06,570.46,PSB Rc82,5.43,1.13
2019,3462.03,36.62,22.15,79.14,9.13,43.15,5.9,220.38,127.99,258.12,606.49,Rc160,7.18,1.04
2020,3732.78,35.1,21.95,79.79,8.64,42.98,6.04,225.54,122.85,302.79,651.17,IR64,8.02,1.06
