Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3002.86,29.34,23.24,83.44,7.29,31.4,6.12,106.84,62.43,143.3,312.57,Tubigan 18,9.0,1.07
2011,3415.54,30.16,22.86,80.96,7.58,31.51,6.18,120.02,76.46,144.42,340.9,NSIC Rc222,8.38,1.0
2012,3283.5,29.39,23.36,80.66,7.77,30.12,6.16,135.68,84.97,161.9,382.56,Tubigan 18,9.68,1.06
2013,3461.87,29.01,23.31,80.95,7.37,28.59,6.22,151.33,88.41,201.56,441.3,IR64,8.59,0.92
2014,3596.84,30.24,22.83,80.62,8.04,30.89,6.15,141.69,85.87,199.93,427.48,Tubigan 18,10.76,1.03
2015,3806.29,30.04,23.47,82.31,8.08,30.8,6.21,176.22,106.37,218.45,501.04,Rc160,8.25,0.9
2016,3586.84,29.2,23.27,80.41,7.61,30.52,6.23,161.56,115.64,226.34,503.54,PSB Rc82,8.72,1.02
2017,3928.25,30.28,22.57,83.32,8.15,28.68,6.26,184.25,116.68,240.86,541.79,PSB Rc82,7.03,1.06
2018,3778.35,29.87,22.61,80.89,7.9,29.3,6.13,181.75,113.07,252.18,547.0,IR64,5.67,1.08
2019,3957.02,29.77,22.58,82.78,7.22,29.03,6.15,197.85,125.2,256.85,579.9,PSB Rc82,12.42,0.96
2020,4382.56,29.47,23.25,82.33,7.69,29.02,6.17,217.54,136.11,275.75,629.41,Rc160,10.83,0.86
