Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3474.25,31.98,23.93,85.33,7.79,34.98,6.43,116.38,65.03,156.8,338.21,IR64,8.17,0.93
2011,3797.17,32.3,24.4,85.28,8.4,33.0,6.32,119.79,71.61,169.0,360.4,PSB Rc82,9.4,0.93
2012,3750.88,31.71,24.35,84.08,7.67,31.66,6.43,133.14,86.66,164.43,384.23,Tubigan 18,8.22,1.06
2013,3757.34,30.69,24.15,83.55,8.22,33.76,6.44,155.01,92.6,191.75,439.36,PSB Rc82,9.96,0.98
2014,3732.81,31.21,23.5,84.63,7.66,32.23,6.38,146.66,102.98,203.09,452.74,IR64,11.45,0.9
2015,4069.94,31.52,24.09,85.54,7.72,31.6,6.47,165.44,112.83,230.51,508.78,Tubigan 18,8.68,1.08
2016,4251.94,30.78,24.32,85.08,7.69,31.52,6.35,167.83,109.23,214.98,492.03,NSIC Rc222,7.42,1.04
2017,4149.91,31.0,23.65,84.57,7.85,34.92,6.47,206.05,109.88,226.92,542.86,Tubigan 18,11.05,1.05
2018,4480.45,31.59,24.34,83.19,8.22,34.48,6.35,199.66,130.04,257.33,587.03,NSIC Rc222,8.59,1.08
2019,4737.86,30.71,23.64,83.74,7.67,32.98,6.48,195.76,122.44,300.18,618.37,PSB Rc82,8.96,0.95
2020,4513.51,30.79,23.92,82.48,8.12,34.65,6.41,213.9,129.29,293.38,636.56,PSB Rc82,10.3,1.03
