Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,4005.77,33.02,24.88,85.9,8.16,34.44,6.61,119.69,72.26,149.14,341.09,NSIC Rc222,9.45,0.95
2011,4152.41,33.41,24.59,84.92,8.52,35.12,6.63,132.84,75.04,170.47,378.36,IR64,8.35,0.89
2012,4117.73,32.61,25.26,85.96,8.41,37.74,6.59,125.81,80.75,179.41,385.97,NSIC Rc222,7.39,1.04
2013,4379.4,32.52,25.45,87.63,8.15,36.2,6.65,144.32,86.31,198.6,429.22,PSB Rc82,4.73,1.02
2014,4353.0,33.61,24.97,85.54,8.36,34.88,6.61,152.88,91.98,204.87,449.73,NSIC Rc222,7.1,1.06
2015,4328.67,33.02,24.82,85.84,8.4,35.7,6.51,170.32,113.63,238.03,521.97,PSB Rc82,5.78,1.08
2016,4397.01,32.79,24.78,86.7,8.92,37.41,6.57,183.02,122.76,258.41,564.18,IR64,3.76,1.1
2017,4563.78,32.97,24.88,85.54,8.5,37.49,6.63,176.51,120.33,275.52,572.35,Rc160,6.05,0.99
2018,4815.52,32.32,25.3,84.52,7.95,34.67,6.66,205.91,122.89,278.61,607.42,Tubigan 18,5.65,1.15
2019,4468.24,32.1,25.24,86.82,8.39,37.43,6.7,204.94,146.79,282.06,633.79,IR64,8.05,1.07
2020,5067.81,32.43,24.53,86.59,8.5,34.84,6.52,247.05,137.75,295.55,680.35,PSB Rc82,9.98,1.01
