Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1945.36,33.58,22.27,88.34,8.22,39.93,5.96,126.37,77.3,155.74,359.41,IR64,8.92,1.07
2011,1937.54,34.51,21.64,86.3,9.23,38.5,5.91,138.83,87.11,153.93,379.87,IR64,8.16,1.12
2012,2186.42,33.94,22.45,89.61,8.97,39.57,6.06,150.8,80.18,168.24,399.23,PSB Rc82,3.35,1.39
2013,2184.29,33.89,22.39,89.41,8.67,40.79,5.93,163.57,91.03,183.67,438.26,Tubigan 18,7.43,1.43
2014,2329.59,34.8,21.53,89.21,8.61,39.63,6.08,148.95,94.84,229.26,473.05,PSB Rc82,7.47,1.42
2015,2385.66,33.53,21.75,89.37,8.79,37.69,5.99,181.83,111.22,218.45,511.5,IR64,8.53,1.31
2016,2389.48,33.73,22.25,86.63,8.56,37.27,5.94,178.41,123.51,254.99,556.9,NSIC Rc222,6.92,1.56
2017,2465.46,34.55,22.09,89.04,8.55,40.85,5.98,201.29,126.47,270.69,598.45,PSB Rc82,4.37,1.6
2018,2335.89,35.21,22.46,87.41,8.82,37.34,5.93,213.33,142.27,282.93,638.54,NSIC Rc222,4.04,1.66
2019,2456.31,34.43,22.49,86.39,9.24,38.89,6.09,209.58,139.59,273.23,622.4,Rc160,3.69,1.5
2020,2595.6,34.29,22.16,89.2,8.52,38.59,6.08,219.24,146.48,308.19,673.91,Tubigan 18,9.41,1.66
