Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2297.0,35.96,23.11,89.59,9.14,40.9,6.27,123.05,67.47,154.59,345.11,Tubigan 18,4.8,1.51
2011,2418.97,35.86,23.12,90.83,8.86,42.84,6.19,140.66,77.22,175.35,393.23,Rc160,5.38,1.29
2012,2545.51,36.18,22.63,90.72,9.76,42.13,6.28,145.89,79.74,192.24,417.86,IR64,2.66,1.41
2013,2647.32,35.83,23.18,91.8,9.61,40.38,6.28,152.63,86.92,195.93,435.48,IR64,2.39,1.43
2014,2710.22,35.25,22.98,91.25,9.0,40.79,6.1,172.26,92.71,216.08,481.05,PSB Rc82,3.16,1.55
2015,2732.48,36.58,23.4,91.12,9.3,42.45,6.27,164.11,111.85,213.25,489.21,IR64,7.81,1.33
2016,2837.63,35.49,23.28,89.29,9.21,41.39,6.12,173.09,124.21,264.77,562.06,Rc160,6.27,1.33
2017,2664.34,35.42,23.36,88.61,8.95,43.88,6.17,205.88,120.43,253.27,579.58,PSB Rc82,7.84,1.51
2018,2825.88,35.16,23.29,90.77,9.24,40.64,6.21,192.44,127.33,260.41,580.18,IR64,2.76,1.56
2019,2972.02,35.54,22.7,89.41,9.4,40.88,6.17,240.5,135.77,277.45,653.72,PSB Rc82,6.4,1.57
2020,2918.15,35.76,23.22,90.46,9.75,42.3,6.12,213.22,132.61,297.45,643.29,Rc160,2.59,1.52
