Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2495.03,29.14,24.41,80.1,7.08,31.37,6.49,129.75,71.48,153.37,354.6,IR64,12.7,0.71
2011,2672.2,30.68,23.99,78.8,8.07,31.25,6.42,132.51,80.23,182.82,395.56,NSIC Rc222,8.02,0.89
2012,2570.68,29.89,24.42,80.78,7.3,31.78,6.48,151.29,83.35,170.67,405.3,NSIC Rc222,9.79,0.86
2013,2720.31,29.83,24.01,79.24,7.36,28.14,6.3,151.21,89.69,187.47,428.37,Tubigan 18,7.5,0.96
2014,2993.62,30.1,24.14,79.52,8.13,31.76,6.49,155.7,101.18,208.81,465.7,Tubigan 18,8.21,0.93
2015,3077.6,29.59,23.79,78.42,7.37,29.19,6.46,171.06,120.03,223.56,514.66,NSIC Rc222,9.78,0.84
2016,3129.51,29.58,24.45,80.62,7.61,29.7,6.41,187.59,108.14,252.06,547.8,Tubigan 18,5.97,0.99
2017,3079.47,29.72,24.26,81.3,7.66,30.01,6.46,190.16,136.97,282.83,609.95,Rc160,9.97,0.79
2018,3375.06,30.29,24.13,81.44,7.3,28.69,6.4,216.26,122.41,278.79,617.46,NSIC Rc222,11.92,0.85
2019,3054.81,30.49,23.74,81.4,7.47,30.65,6.38,238.97,144.61,298.56,682.14,Rc160,11.47,0.81
2020,3483.65,29.77,23.79,78.66,7.86,29.47,6.36,262.37,158.89,313.8,735.06,NSIC Rc222,7.68,0.94
