Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2692.02,31.0,25.07,82.64,7.75,33.52,6.69,116.2,72.35,153.99,342.54,Tubigan 18,11.07,0.91
2011,2945.36,31.53,24.74,80.76,8.53,33.66,6.61,132.17,91.22,171.17,394.56,Rc160,4.55,0.85
2012,3129.25,31.13,25.02,81.31,8.07,31.54,6.66,141.1,83.3,189.11,413.52,Tubigan 18,9.51,0.91
2013,2905.28,31.82,25.4,83.6,7.84,31.75,6.55,142.86,102.7,214.26,459.81,PSB Rc82,7.38,0.9
2014,3273.62,31.08,24.8,82.97,7.48,33.36,6.54,157.36,98.24,207.12,462.73,NSIC Rc222,8.54,0.9
2015,3336.97,30.73,24.96,81.3,8.2,34.37,6.55,197.79,123.67,226.02,547.49,IR64,8.61,0.86
2016,3362.34,32.41,25.3,80.71,8.65,34.9,6.61,192.22,122.72,242.84,557.78,Tubigan 18,8.02,1.02
2017,3500.54,31.84,24.62,81.61,8.19,32.68,6.69,188.9,136.3,247.64,572.84,Tubigan 18,7.17,1.02
2018,3619.04,30.69,25.0,82.45,7.78,33.06,6.62,238.72,146.91,257.2,642.82,PSB Rc82,7.1,0.94
2019,3708.27,31.84,25.32,80.84,8.02,33.78,6.5,249.9,135.46,319.05,704.41,NSIC Rc222,7.88,0.98
2020,3791.58,31.01,25.16,82.17,7.6,34.83,6.52,242.29,138.66,300.04,680.99,Rc160,10.54,0.79
