Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3127.19,33.85,22.4,85.31,9.01,34.06,5.95,131.94,74.15,153.57,359.66,IR64,5.29,0.85
2011,3085.13,33.87,21.83,84.2,8.41,35.48,5.93,139.91,77.24,158.41,375.56,PSB Rc82,9.18,0.86
2012,3488.31,32.22,22.18,83.98,8.44,34.84,5.98,146.58,99.16,195.54,441.28,NSIC Rc222,8.76,0.87
2013,3270.42,32.36,22.21,82.8,8.77,35.66,6.04,148.19,110.32,194.95,453.45,PSB Rc82,8.32,0.91
2014,3549.78,32.86,22.47,85.29,8.26,37.13,6.0,156.62,117.73,203.07,477.42,IR64,6.94,0.85
2015,3933.85,33.01,22.32,83.64,8.74,36.29,6.04,189.25,116.0,245.91,551.16,NSIC Rc222,8.45,0.88
2016,3962.08,32.61,22.21,84.98,8.86,36.95,5.99,197.33,122.82,267.79,587.94,IR64,6.75,0.85
2017,3741.97,33.99,22.48,84.05,8.56,36.54,5.98,217.54,122.74,268.92,609.2,Rc160,4.92,0.9
2018,3936.93,33.83,22.34,85.13,8.62,37.51,6.04,208.21,129.07,274.67,611.96,PSB Rc82,8.01,0.92
2019,4086.25,33.59,22.31,85.36,8.68,35.93,6.0,222.06,157.08,323.83,702.96,Tubigan 18,8.54,1.02
2020,4439.67,32.64,22.4,83.73,7.99,34.67,6.1,257.92,147.22,307.27,712.41,Tubigan 18,9.41,0.94
