Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3466.56,34.92,23.37,87.03,9.41,38.93,6.29,114.07,71.68,155.54,341.29,Tubigan 18,6.53,0.95
2011,3326.16,34.52,22.91,86.22,9.29,38.44,6.18,133.74,79.56,185.58,398.88,Tubigan 18,8.24,0.97
2012,3619.1,34.04,22.81,87.35,8.38,37.64,6.29,161.04,91.71,185.78,438.53,IR64,4.91,0.91
2013,3829.3,33.66,23.18,86.98,8.31,37.81,6.25,165.55,98.41,197.3,461.25,PSB Rc82,5.01,0.93
2014,3836.5,35.15,23.23,86.96,8.96,37.22,6.21,182.63,106.89,217.15,506.68,Tubigan 18,5.82,1.0
2015,3924.34,34.98,22.52,84.3,9.22,39.03,6.21,200.75,108.19,232.18,541.12,PSB Rc82,3.18,0.99
2016,4321.55,35.36,22.89,84.44,9.2,40.18,6.22,210.45,135.89,281.94,628.27,Tubigan 18,3.87,1.02
2017,4200.76,34.33,22.7,85.62,8.55,40.51,6.21,218.07,143.01,298.71,659.79,IR64,6.12,0.93
2018,4310.32,33.7,23.03,85.33,8.33,39.18,6.13,246.1,140.27,288.09,674.46,NSIC Rc222,6.48,1.0
2019,4692.63,33.84,22.59,86.44,9.13,38.13,6.15,227.04,141.41,294.15,662.59,PSB Rc82,4.54,0.95
2020,4516.01,34.0,22.71,86.51,9.04,39.45,6.22,257.12,149.92,294.3,701.34,Rc160,6.43,0.88
