Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3711.11,36.42,24.19,86.61,9.68,40.56,6.43,131.72,75.42,163.35,370.49,Rc160,3.29,0.84
2011,4083.61,36.51,23.84,89.67,9.55,42.17,6.37,150.09,95.66,172.67,418.42,NSIC Rc222,4.31,0.92
2012,4037.5,36.98,23.57,87.32,9.89,43.51,6.5,148.65,91.88,184.95,425.48,PSB Rc82,2.55,0.94
2013,4405.43,36.94,23.78,88.65,9.93,43.25,6.46,152.16,102.79,210.91,465.86,PSB Rc82,4.29,0.85
2014,4198.85,36.55,23.95,88.45,9.19,42.96,6.48,189.85,122.7,250.13,562.67,Tubigan 18,6.46,0.99
2015,4373.65,36.57,23.8,88.59,9.28,43.49,6.33,187.56,110.04,235.61,533.21,Tubigan 18,3.79,1.02
2016,4542.52,35.01,23.95,88.21,8.86,42.94,6.33,221.48,134.87,275.09,631.44,PSB Rc82,5.33,0.92
2017,4397.85,36.52,23.82,88.07,9.69,40.14,6.35,204.77,134.76,257.68,597.21,Rc160,7.1,0.83
2018,4806.01,35.49,23.79,86.53,9.47,41.1,6.31,212.09,136.02,305.78,653.89,Tubigan 18,4.02,1.02
2019,4703.82,35.07,23.85,88.96,9.45,40.86,6.33,220.91,163.33,317.27,701.51,Rc160,7.09,0.82
2020,4869.13,36.84,24.48,87.99,9.52,40.2,6.44,253.76,173.31,343.4,770.47,NSIC Rc222,2.05,1.07
