Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1944.01,30.23,24.58,88.78,7.81,30.83,6.55,123.56,83.91,182.52,389.99,Tubigan 18,8.61,1.11
2011,2259.18,29.69,25.3,90.56,7.17,29.2,6.55,133.09,88.62,199.97,421.68,Rc160,11.72,0.89
2012,2104.6,30.27,25.19,90.93,7.76,29.58,6.58,148.71,106.5,220.44,475.65,IR64,8.56,1.02
2013,2144.55,30.2,25.2,88.43,7.74,31.82,6.66,178.47,108.3,227.51,514.27,PSB Rc82,10.5,1.08
2014,2204.55,30.55,25.2,88.73,7.67,28.86,6.7,177.28,105.67,239.19,522.13,Tubigan 18,8.12,1.26
2015,2351.49,30.54,24.88,89.98,7.77,28.7,6.62,177.6,115.49,232.42,525.5,IR64,9.11,1.15
2016,2353.79,30.68,24.68,88.48,7.47,30.38,6.52,224.28,141.5,249.01,614.79,Rc160,11.96,1.02
2017,2437.71,29.02,24.58,89.67,6.83,30.85,6.62,201.41,147.13,287.09,635.63,PSB Rc82,11.08,1.17
2018,2562.68,30.61,25.34,89.29,7.36,31.2,6.53,236.66,149.03,323.35,709.04,NSIC Rc222,11.4,1.29
2019,2416.73,29.31,25.32,89.48,7.31,28.16,6.62,228.64,155.89,335.3,719.82,Tubigan 18,10.63,1.39
2020,2447.47,30.22,24.79,88.87,8.01,29.49,6.52,281.16,173.32,360.64,815.11,Tubigan 18,6.81,1.54
