Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2450.14,31.24,21.78,78.75,8.21,33.4,5.96,124.98,79.33,161.72,366.02,PSB Rc82,10.1,1.09
2011,2349.61,32.14,22.02,79.43,8.4,34.76,6.05,144.04,87.83,184.51,416.37,NSIC Rc222,9.14,1.2
2012,2472.56,32.41,21.99,78.92,8.82,33.52,5.96,143.41,110.84,218.97,473.22,NSIC Rc222,7.5,1.26
2013,2487.85,31.85,22.23,81.58,8.06,33.55,6.0,169.7,104.74,210.89,485.33,NSIC Rc222,8.17,1.31
2014,2583.31,32.19,22.22,78.72,8.16,31.63,6.08,186.88,125.35,234.25,546.48,Rc160,10.28,1.09
2015,2734.63,31.6,21.71,78.83,8.33,32.65,5.94,214.67,122.9,230.28,567.86,IR64,10.07,1.14
2016,2721.56,31.08,21.93,79.98,7.81,31.46,5.95,219.98,122.08,253.82,595.88,NSIC Rc222,5.57,1.4
2017,2767.16,31.51,22.34,78.63,8.28,33.91,6.07,230.11,129.36,264.61,624.08,Rc160,4.54,1.28
2018,2931.56,31.58,21.61,79.02,7.7,32.84,6.08,217.7,163.3,323.13,704.13,Rc160,9.98,1.13
2019,2850.93,30.84,22.37,79.46,8.26,34.05,5.92,271.86,157.42,331.6,760.88,Tubigan 18,8.65,1.44
2020,2979.06,32.45,22.12,80.28,8.15,32.04,6.0,268.59,176.46,326.66,771.71,Tubigan 18,8.58,1.45
