Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2741.1,32.73,23.15,81.11,7.95,34.19,6.13,123.82,79.77,171.23,374.82,Rc160,6.71,1.1
2011,2903.86,32.6,23.03,81.08,8.13,37.64,6.17,133.12,93.54,199.27,425.92,NSIC Rc222,10.5,1.15
2012,2660.43,33.03,22.75,81.34,8.43,34.37,6.1,162.08,98.66,225.48,486.22,Rc160,9.98,1.09
2013,2682.54,33.11,23.29,83.54,8.46,34.66,6.16,170.59,117.04,210.16,497.78,NSIC Rc222,4.09,1.46
2014,2854.99,32.5,23.0,82.21,8.3,36.64,6.19,189.64,117.96,241.9,549.5,PSB Rc82,5.05,1.34
2015,3086.02,33.6,22.76,82.33,8.91,37.64,6.27,182.82,118.38,249.53,550.73,PSB Rc82,5.17,1.32
2016,2955.05,32.77,22.95,82.46,8.38,34.86,6.18,203.66,148.12,282.57,634.34,Tubigan 18,8.3,1.43
2017,3094.62,33.76,23.36,83.57,8.67,36.63,6.18,215.75,139.87,294.39,650.01,Tubigan 18,4.63,1.51
2018,3167.94,32.42,23.05,82.09,8.58,34.68,6.21,233.23,143.03,282.48,658.74,IR64,7.32,1.27
2019,3364.15,32.33,22.71,83.06,8.4,36.59,6.11,237.38,155.69,334.85,727.91,Rc160,4.34,1.29
2020,3409.87,32.63,23.35,80.39,8.48,34.67,6.16,256.18,170.3,368.62,795.09,IR64,5.35,1.34
