Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2804.93,35.38,24.33,83.82,8.87,40.24,6.47,124.57,87.06,162.7,374.33,NSIC Rc222,5.75,1.33
2011,2981.75,35.38,24.2,84.64,9.26,38.97,6.32,163.26,97.17,191.25,451.67,PSB Rc82,7.89,1.19
2012,3144.79,34.68,24.28,85.25,8.68,38.14,6.4,178.94,103.19,199.79,481.92,Tubigan 18,4.19,1.42
2013,3217.23,34.33,23.58,83.04,9.32,40.17,6.36,191.09,119.63,216.26,526.98,PSB Rc82,6.35,1.23
2014,3383.53,34.9,24.42,85.13,9.44,37.86,6.42,174.69,133.63,239.45,547.77,Tubigan 18,5.59,1.38
2015,3302.84,35.07,24.03,83.44,8.99,38.81,6.43,189.67,122.0,242.26,553.93,Tubigan 18,7.78,1.38
2016,3585.26,33.58,24.19,84.8,9.13,38.39,6.35,224.1,140.26,306.44,670.8,NSIC Rc222,4.37,1.39
2017,3383.09,33.53,23.55,83.6,8.56,39.35,6.38,223.71,134.22,319.59,677.53,Tubigan 18,9.4,1.39
2018,3415.04,34.31,23.96,85.05,9.26,40.51,6.33,228.93,159.26,342.11,730.3,IR64,6.47,1.32
2019,3667.02,34.58,24.44,84.45,8.61,37.06,6.33,241.25,163.08,324.39,728.72,NSIC Rc222,5.28,1.46
2020,3841.38,34.34,23.66,83.11,9.21,40.83,6.47,258.46,174.98,336.42,769.86,NSIC Rc222,8.11,1.35
