Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3318.52,36.39,25.17,86.42,9.03,41.79,6.68,135.85,87.81,169.66,393.33,IR64,8.18,1.06
2011,3288.41,36.18,24.59,84.3,8.96,42.62,6.53,145.82,91.81,206.48,444.12,Rc160,7.61,1.07
2012,3195.41,36.46,25.39,87.06,9.97,40.26,6.6,158.43,116.46,192.17,467.06,NSIC Rc222,1.58,1.42
2013,3678.74,35.52,25.43,85.43,9.29,40.15,6.5,168.47,111.35,245.19,525.01,PSB Rc82,2.71,1.26
2014,3330.27,36.41,24.78,86.9,9.66,43.29,6.69,198.34,121.71,250.6,570.65,Rc160,1.96,1.27
2015,3810.3,35.93,24.81,86.59,9.13,43.62,6.62,208.28,143.74,271.69,623.72,IR64,7.7,1.14
2016,3929.87,36.46,25.31,85.2,9.34,43.98,6.5,219.04,132.7,264.27,616.02,Rc160,5.59,1.11
2017,3642.44,36.49,24.79,85.66,9.24,42.43,6.69,239.45,144.35,272.89,656.69,PSB Rc82,7.42,1.31
2018,4104.29,35.61,24.96,86.65,8.86,40.57,6.62,257.7,149.81,331.34,738.86,Tubigan 18,3.78,1.48
2019,4142.48,36.28,25.35,84.89,9.31,43.01,6.67,284.71,180.69,314.95,780.36,Rc160,7.1,1.13
2020,4158.4,35.78,24.53,85.21,9.25,41.18,6.63,260.64,179.82,384.43,824.88,IR64,6.34,1.27
