Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3513.14,30.42,22.06,89.22,7.62,31.35,5.91,133.28,86.91,167.7,387.89,Tubigan 18,10.81,0.69
2011,3602.05,29.59,21.91,87.66,7.11,31.99,5.99,168.12,108.55,205.56,482.23,IR64,9.17,0.64
2012,3776.19,30.31,22.1,86.4,7.65,29.31,5.97,176.84,116.18,235.65,528.67,PSB Rc82,7.49,0.71
2013,3860.1,30.16,21.69,87.02,7.47,28.73,6.01,164.52,123.05,232.52,520.09,Rc160,8.0,0.63
2014,4119.22,29.79,21.61,89.7,7.4,30.12,5.91,187.21,134.6,262.75,584.57,Tubigan 18,10.43,0.69
2015,4073.64,30.62,22.49,87.4,8.17,31.2,6.01,198.94,123.78,258.59,581.31,Tubigan 18,7.35,0.81
2016,3887.22,29.34,21.81,86.64,7.28,28.78,5.99,238.44,132.47,289.14,660.04,PSB Rc82,11.96,0.68
2017,4265.13,29.77,22.0,88.1,7.14,29.14,6.04,223.85,163.96,328.86,716.67,NSIC Rc222,7.99,0.75
2018,4390.87,30.89,22.08,88.41,7.85,28.97,5.92,276.32,169.76,342.26,788.34,PSB Rc82,9.85,0.71
2019,4500.6,30.4,22.12,86.79,7.29,28.08,6.04,278.54,163.19,316.83,758.56,NSIC Rc222,6.76,0.78
2020,4558.86,30.42,21.88,87.32,7.99,29.53,6.05,261.21,193.25,364.03,818.49,Tubigan 18,8.99,0.81
