Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3703.6,30.9,22.92,90.87,7.75,33.01,6.12,132.48,85.54,194.45,412.47,NSIC Rc222,8.31,0.73
2011,4109.64,30.59,23.29,90.17,7.54,31.45,6.21,142.23,104.99,183.22,430.44,IR64,6.61,0.67
2012,4207.79,31.2,23.24,89.19,8.2,32.93,6.16,162.48,107.3,217.41,487.19,IR64,5.28,0.72
2013,4384.63,31.5,22.54,89.89,7.95,32.26,6.12,191.68,109.24,229.68,530.6,PSB Rc82,8.45,0.69
2014,4229.05,32.2,23.07,89.57,7.9,32.23,6.22,218.43,125.67,274.41,618.5,PSB Rc82,10.57,0.7
2015,4182.04,31.63,22.73,90.43,7.86,33.21,6.29,222.91,130.5,273.67,627.08,Rc160,9.97,0.65
2016,4371.27,31.81,22.56,91.74,8.12,31.92,6.12,206.51,156.27,291.14,653.91,Rc160,6.15,0.72
2017,4593.68,32.18,22.76,89.53,8.74,32.5,6.15,222.67,168.72,295.62,687.01,Rc160,3.92,0.74
2018,4547.24,32.2,23.18,90.72,8.31,34.77,6.26,266.28,159.47,360.41,786.16,Rc160,9.09,0.7
2019,5065.46,32.1,22.85,88.86,8.34,32.34,6.17,293.22,174.14,325.18,792.54,PSB Rc82,8.85,0.73
2020,4941.11,30.91,22.89,90.47,8.06,33.52,6.17,268.43,185.26,336.98,790.66,Rc160,6.92,0.69
