Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2021.75,32.96,24.48,80.43,8.1,35.14,6.45,138.11,101.54,189.11,428.76,Tubigan 18,6.96,0.98
2011,2152.67,32.3,24.42,81.56,8.0,35.11,6.36,151.14,102.34,195.66,449.14,Tubigan 18,10.13,0.96
2012,2181.85,33.23,24.02,79.64,8.7,35.52,6.38,168.15,122.57,220.26,510.97,PSB Rc82,4.07,1.05
2013,2137.31,33.66,24.3,80.3,8.69,36.75,6.47,188.56,115.68,245.98,550.22,Rc160,6.21,0.93
2014,2047.16,33.91,24.37,81.52,8.83,34.05,6.39,212.91,123.71,269.28,605.9,PSB Rc82,6.43,1.0
2015,2283.76,33.02,24.41,78.54,8.59,35.91,6.35,235.94,143.44,303.83,683.22,IR64,4.01,1.08
2016,2439.4,33.74,24.44,79.71,9.02,35.92,6.36,234.08,161.49,313.09,708.66,PSB Rc82,7.7,1.09
2017,2305.5,33.75,23.84,79.33,9.2,37.11,6.3,249.75,150.25,342.29,742.29,NSIC Rc222,4.85,1.21
2018,2431.77,33.74,24.41,78.52,8.55,35.09,6.48,273.79,155.69,328.6,758.08,Rc160,4.86,1.07
2019,2390.35,32.86,24.44,78.76,8.49,37.9,6.49,289.5,165.98,379.6,835.09,PSB Rc82,4.49,1.24
2020,2534.01,33.91,23.65,78.4,8.63,35.81,6.34,288.97,173.57,333.51,796.05,PSB Rc82,5.98,1.24
