Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2321.83,34.07,24.51,82.18,9.1,39.28,6.55,139.45,97.39,187.38,424.22,IR64,6.23,0.97
2011,2473.19,35.11,25.07,83.04,9.34,38.41,6.52,171.06,102.64,225.8,499.51,PSB Rc82,3.72,1.08
2012,2446.4,33.92,24.8,81.98,8.5,37.95,6.62,168.81,124.47,205.76,499.05,Rc160,9.7,0.91
2013,2656.31,34.1,25.31,80.75,9.28,38.47,6.64,205.43,128.25,243.41,577.09,Rc160,4.55,0.99
2014,2597.31,33.79,24.93,80.77,9.2,38.41,6.56,196.03,128.43,252.88,577.34,Tubigan 18,3.49,1.26
2015,2543.05,35.43,25.1,82.29,9.62,37.81,6.6,239.22,142.45,275.51,657.17,IR64,3.67,1.14
2016,2684.43,35.45,25.08,83.34,9.62,39.9,6.65,254.66,137.23,302.46,694.36,Rc160,3.32,1.09
2017,2917.89,33.58,25.13,82.01,8.9,40.09,6.61,255.83,149.64,305.58,711.06,IR64,4.01,1.14
2018,2876.22,34.43,25.38,81.45,8.95,39.26,6.64,256.52,161.37,353.23,771.12,PSB Rc82,6.73,1.16
2019,2891.18,35.01,25.26,82.5,8.83,40.58,6.61,256.98,169.31,382.91,809.21,PSB Rc82,5.05,1.23
2020,3021.32,34.75,25.37,81.58,8.99,38.21,6.56,309.02,203.61,338.91,851.54,NSIC Rc222,3.19,1.31
