Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2408.7,36.83,22.28,84.71,9.39,42.83,6.04,139.49,96.85,177.8,414.15,Rc160,3.95,1.0
2011,2697.13,36.49,21.71,83.59,9.81,41.94,6.08,164.26,111.58,213.17,489.01,PSB Rc82,5.05,1.1
2012,2678.49,35.6,21.66,85.39,9.39,43.59,6.09,184.45,108.34,231.14,523.93,Tubigan 18,5.97,1.22
2013,2782.72,35.46,21.67,85.44,9.15,43.25,5.92,206.06,121.48,270.45,597.99,NSIC Rc222,7.6,1.15
2014,2862.1,36.7,21.64,83.31,9.12,41.35,6.01,221.78,140.28,270.11,632.16,PSB Rc82,5.46,1.15
2015,2879.76,35.77,22.34,83.89,9.03,41.18,5.93,221.4,142.95,287.75,652.1,PSB Rc82,5.33,1.2
2016,3072.94,36.72,21.84,83.2,9.7,41.54,6.0,240.94,165.5,322.65,729.09,Tubigan 18,2.76,1.32
2017,3240.69,35.63,21.7,84.9,9.36,43.44,6.02,229.03,169.77,318.42,717.22,Rc160,4.76,1.07
2018,3280.94,36.81,21.75,84.93,9.14,43.29,6.01,272.73,186.93,354.35,814.01,Rc160,5.59,1.05
2019,3086.49,36.24,22.32,83.23,9.48,43.2,5.92,265.29,164.19,375.41,804.88,Tubigan 18,4.98,1.35
2020,3363.38,36.92,22.18,84.44,9.48,42.27,5.95,270.18,184.89,405.03,860.1,IR64,3.02,1.19
