Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3051.06,29.92,22.63,84.91,7.41,31.42,6.25,135.02,95.83,205.26,436.11,Rc160,10.96,0.82
2011,2999.98,30.04,22.63,86.13,7.72,30.5,6.19,160.34,115.92,214.67,490.94,IR64,10.61,0.91
2012,3064.8,30.34,22.95,86.12,7.6,30.88,6.18,190.78,120.94,250.04,561.76,IR64,7.06,1.01
2013,3426.94,29.61,22.93,84.88,7.8,29.97,6.19,189.16,116.82,232.98,538.97,NSIC Rc222,10.11,1.0
2014,3280.23,30.33,23.09,84.6,7.89,28.36,6.19,213.13,128.93,270.33,612.39,IR64,8.99,0.99
2015,3377.29,29.14,22.83,85.7,7.36,31.43,6.12,227.68,151.21,316.04,694.93,Tubigan 18,9.45,1.13
2016,3421.82,29.64,22.71,85.42,7.61,29.42,6.15,232.43,152.72,278.97,664.12,Tubigan 18,7.73,1.2
2017,3692.63,30.86,23.01,86.28,8.02,29.19,6.23,277.59,154.16,301.38,733.13,IR64,6.67,1.06
2018,3582.33,30.79,23.14,86.34,7.59,29.9,6.13,266.84,185.28,323.41,775.53,Tubigan 18,10.63,1.14
2019,3749.27,30.4,23.19,86.03,7.91,29.14,6.1,273.05,202.52,379.33,854.9,NSIC Rc222,6.91,1.21
2020,3749.5,30.21,22.91,87.64,7.96,29.75,6.23,279.9,189.32,397.5,866.72,PSB Rc82,5.64,1.2
