Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3264.32,31.17,23.71,86.42,8.06,33.35,6.32,151.32,91.01,190.59,432.92,NSIC Rc222,5.68,1.14
2011,3221.55,31.64,23.82,88.79,7.71,33.58,6.43,163.09,107.26,233.72,504.06,IR64,6.24,1.06
2012,3534.74,30.83,23.84,87.1,7.7,34.04,6.41,199.28,115.47,229.66,544.41,Rc160,6.82,0.93
2013,3539.29,30.73,24.14,87.53,8.15,32.43,6.36,181.37,130.45,243.58,555.39,PSB Rc82,6.4,1.08
2014,3447.43,30.96,23.93,87.63,7.7,31.71,6.3,219.55,136.95,271.93,628.43,PSB Rc82,10.59,1.01
2015,3793.29,31.87,24.29,89.36,8.62,33.13,6.34,225.52,152.39,284.99,662.9,NSIC Rc222,7.05,1.15
2016,3818.65,32.3,24.16,86.76,8.2,33.58,6.36,264.56,152.23,284.98,701.77,IR64,7.85,1.05
2017,3726.41,31.23,24.02,88.25,8.0,34.29,6.43,272.22,181.85,331.1,785.16,IR64,5.04,1.16
2018,3896.03,32.43,23.82,89.14,8.67,31.25,6.44,276.53,193.41,344.85,814.78,Rc160,8.82,1.03
2019,4129.59,31.85,23.86,89.7,8.32,31.86,6.4,280.12,189.44,355.77,825.33,Rc160,5.21,1.09
2020,4205.52,32.27,24.1,88.22,8.52,31.57,6.3,283.85,186.0,351.79,821.64,PSB Rc82,4.54,1.22
