Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3390.73,33.78,25.19,90.1,8.93,37.03,6.7,152.7,97.73,191.54,441.98,NSIC Rc222,6.2,1.16
2011,3503.43,33.26,25.27,89.81,8.98,35.05,6.54,184.86,99.9,204.22,488.97,Tubigan 18,7.94,1.18
2012,3805.76,32.34,25.05,90.15,8.53,34.82,6.69,177.4,124.51,242.25,544.16,Tubigan 18,4.48,1.25
2013,3877.67,32.44,25.11,91.02,8.63,34.84,6.66,184.75,129.04,249.87,563.65,Rc160,8.61,0.93
2014,3883.71,33.37,25.32,88.21,8.25,36.98,6.64,229.4,136.13,255.36,620.89,NSIC Rc222,7.31,1.14
2015,4016.79,33.97,25.3,88.78,8.48,35.23,6.6,253.62,155.25,313.31,722.18,Tubigan 18,4.32,1.26
2016,4024.89,33.77,25.09,89.08,8.46,37.16,6.67,230.89,151.21,346.72,728.82,PSB Rc82,9.15,1.09
2017,4449.2,32.82,24.69,91.74,8.03,37.91,6.51,249.37,160.35,321.82,731.53,IR64,10.67,0.94
2018,4200.05,32.44,24.56,90.0,8.13,37.83,6.61,260.41,172.67,370.55,803.63,Tubigan 18,10.55,1.17
2019,4484.21,33.65,24.78,88.82,8.32,37.72,6.61,280.8,172.47,352.19,805.46,Rc160,9.68,0.96
2020,4754.98,33.64,24.74,88.35,9.03,34.39,6.6,292.45,208.45,399.35,900.24,Rc160,6.3,0.99
