Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3925.09,33.58,22.14,81.59,8.64,39.21,6.08,145.53,105.35,185.02,435.9,PSB Rc82,4.23,1.08
2011,4052.45,34.46,21.83,80.03,8.6,38.69,5.94,169.05,114.32,212.94,496.31,IR64,8.1,0.96
2012,3793.93,34.99,22.42,81.21,8.7,38.06,6.02,200.49,130.88,242.56,573.93,PSB Rc82,4.6,1.19
2013,4190.25,33.52,22.34,81.43,9.01,38.49,6.07,222.17,121.25,277.39,620.81,PSB Rc82,4.63,1.09
2014,4528.03,33.55,22.46,79.97,9.07,38.58,6.05,226.38,142.64,287.87,656.9,NSIC Rc222,5.5,1.11
2015,4402.02,35.0,21.62,81.41,9.39,38.5,6.0,222.95,153.14,284.63,660.72,Tubigan 18,4.18,1.24
2016,4222.06,34.85,21.5,78.78,9.24,39.97,6.08,255.41,149.87,309.43,714.7,Rc160,6.25,1.02
2017,4664.07,35.37,22.33,80.19,9.63,40.23,5.91,255.6,179.08,350.24,784.93,Rc160,7.45,0.96
2018,4625.7,34.43,21.91,78.73,9.42,38.75,5.92,278.47,166.24,390.09,834.8,NSIC Rc222,7.99,1.11
2019,4658.65,35.25,21.79,79.88,9.08,38.86,6.06,302.8,176.54,384.5,863.85,NSIC Rc222,6.24,1.24
2020,5091.04,35.32,21.52,78.92,9.64,40.52,5.92,303.58,214.89,426.53,945.0,NSIC Rc222,4.57,1.19
