Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1863.1,35.49,23.23,82.34,9.65,43.88,6.12,158.61,93.2,199.38,451.2,NSIC Rc222,5.55,1.28
2011,2056.59,35.89,23.46,82.66,9.72,43.41,6.2,190.92,114.74,232.24,537.9,IR64,4.95,1.27
2012,2067.32,36.24,22.9,81.11,9.76,43.36,6.23,205.04,127.81,267.02,599.87,PSB Rc82,6.83,1.28
2013,2195.79,35.16,23.13,83.46,8.96,42.52,6.14,196.23,141.16,271.0,608.39,Tubigan 18,4.49,1.61
2014,2219.37,36.04,22.87,82.16,9.57,43.72,6.15,200.5,133.4,307.85,641.75,Rc160,7.41,1.26
2015,2202.76,36.84,22.64,82.41,9.24,41.82,6.11,214.27,139.91,274.24,628.42,Tubigan 18,7.0,1.58
2016,2417.46,36.95,22.76,82.57,9.92,40.04,6.28,250.62,165.6,353.83,770.05,Tubigan 18,2.37,1.74
2017,2364.93,36.85,22.65,83.61,9.89,40.21,6.22,284.05,172.41,324.39,780.86,Tubigan 18,2.88,1.8
2018,2497.22,35.16,23.38,83.2,9.43,42.15,6.26,260.44,196.0,363.26,819.7,Tubigan 18,7.38,1.71
2019,2367.52,36.39,23.11,83.18,9.33,43.26,6.14,311.2,194.23,357.23,862.67,Tubigan 18,5.48,1.77
2020,2543.89,36.02,23.28,81.29,9.24,40.1,6.14,340.52,201.92,387.73,930.17,NSIC Rc222,3.74,1.79
