Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2389.25,30.33,23.86,85.2,7.35,30.88,6.41,152.16,102.08,197.82,452.06,NSIC Rc222,7.9,0.87
2011,2383.32,29.04,24.28,85.17,6.82,31.64,6.36,163.24,115.43,212.13,490.8,Rc160,13.03,0.67
2012,2543.41,30.78,23.94,83.05,8.29,28.44,6.41,178.94,117.09,261.39,557.42,IR64,7.25,0.85
2013,2437.68,30.76,23.54,84.98,7.73,31.2,6.39,191.72,149.81,282.15,623.68,Tubigan 18,7.09,0.98
2014,2651.75,29.81,23.9,84.41,7.19,31.34,6.49,202.5,157.43,264.7,624.63,Rc160,9.97,0.77
2015,2626.27,30.21,24.37,84.56,7.39,29.1,6.34,261.93,164.31,320.31,746.55,IR64,11.02,0.81
2016,2557.97,30.51,24.36,85.51,7.59,29.34,6.32,277.24,160.13,309.42,746.8,PSB Rc82,10.0,0.91
2017,2884.75,30.48,24.22,85.03,7.9,31.8,6.48,277.93,170.07,342.79,790.79,PSB Rc82,10.86,0.89
2018,2790.92,30.89,23.59,84.79,8.08,31.31,6.45,310.93,193.9,404.93,909.77,Tubigan 18,6.66,1.1
2019,2873.38,29.84,23.89,83.04,7.58,31.6,6.32,331.1,187.76,398.15,917.01,NSIC Rc222,6.22,1.04
2020,3026.37,29.82,24.3,82.42,7.74,31.08,6.39,331.75,202.54,388.33,922.61,Tubigan 18,11.34,0.99
