Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2575.39,32.14,25.14,85.23,8.43,32.32,6.54,149.96,102.05,203.82,455.84,Tubigan 18,4.9,1.05
2011,2613.56,32.0,24.73,87.58,7.82,34.8,6.54,178.4,115.64,211.93,505.96,Rc160,8.42,0.81
2012,2742.19,30.84,24.59,86.32,7.43,31.21,6.6,183.38,137.63,237.03,558.04,Tubigan 18,11.79,0.92
2013,2891.08,30.83,25.33,84.42,7.5,32.44,6.67,210.81,135.18,293.15,639.13,Rc160,6.38,0.83
2014,2843.59,32.11,25.43,87.56,8.45,32.66,6.59,216.24,150.98,313.89,681.11,PSB Rc82,6.13,1.0
2015,2785.0,31.59,25.07,84.34,7.95,31.83,6.56,222.97,143.91,340.07,706.95,IR64,6.29,0.97
2016,3006.65,31.34,25.49,86.01,7.79,34.85,6.59,244.46,186.09,299.22,729.78,NSIC Rc222,8.25,1.01
2017,3263.41,32.45,25.08,86.73,8.16,34.26,6.62,296.03,164.15,372.32,832.5,Tubigan 18,8.24,1.06
2018,3227.31,30.64,24.93,84.63,7.76,33.03,6.66,271.86,194.53,405.72,872.1,IR64,7.91,0.91
2019,3415.17,31.63,24.63,87.59,8.24,32.8,6.7,331.02,190.98,415.55,937.55,PSB Rc82,6.4,1.01
2020,3472.53,31.04,24.84,85.48,7.6,31.99,6.63,322.78,220.4,441.64,984.81,PSB Rc82,7.38,1.0
