Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2986.45,32.85,21.67,87.98,8.79,37.08,5.95,170.58,107.76,216.01,494.35,IR64,6.5,0.85
2011,2948.97,33.0,21.79,87.8,8.53,36.32,5.93,168.08,118.19,221.84,508.11,Tubigan 18,6.95,1.01
2012,3035.47,33.96,22.04,89.25,8.48,34.23,6.07,214.07,136.89,258.01,608.97,PSB Rc82,4.13,0.99
2013,3252.51,33.15,21.63,89.51,8.86,35.19,6.0,200.16,142.82,269.4,612.38,NSIC Rc222,5.8,0.99
2014,3232.11,33.27,21.95,87.26,8.11,37.62,6.1,219.65,146.67,271.95,638.27,IR64,5.42,0.92
2015,3313.26,32.62,21.75,86.93,8.49,37.31,6.08,255.95,151.58,316.89,724.42,PSB Rc82,5.09,1.0
2016,3296.19,33.38,21.94,87.17,8.99,37.08,6.09,260.82,169.72,309.93,740.47,NSIC Rc222,6.47,1.05
2017,3539.83,32.79,22.49,87.34,8.6,36.32,6.02,276.89,175.88,391.45,844.23,Tubigan 18,5.98,1.09
2018,3551.91,32.93,22.05,86.85,8.74,34.55,5.94,286.82,208.08,354.33,849.23,Tubigan 18,5.28,1.12
2019,3622.04,32.16,22.39,88.65,8.64,36.0,5.96,329.36,193.9,371.75,895.0,PSB Rc82,8.4,0.99
2020,4046.73,32.12,21.52,88.57,8.12,36.06,6.09,337.17,197.96,439.65,974.78,Tubigan 18,9.05,0.99
