Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3446.94,35.13,22.98,91.37,9.15,38.44,6.11,177.25,109.04,206.48,492.77,Rc160,7.7,0.78
2011,3329.97,35.37,22.53,88.5,8.84,37.99,6.15,171.61,132.02,237.83,541.45,PSB Rc82,6.26,0.95
2012,3424.09,35.03,23.02,91.3,8.64,39.56,6.16,203.71,132.53,274.36,610.6,IR64,4.39,0.94
2013,3418.91,35.25,22.74,89.76,8.79,37.75,6.25,220.91,143.01,255.68,619.59,IR64,8.95,0.88
2014,3522.49,34.89,23.1,88.48,9.01,38.69,6.27,240.72,155.68,319.73,716.13,Tubigan 18,3.81,1.12
2015,3688.77,35.26,23.07,90.66,9.14,38.38,6.22,271.62,159.32,301.13,732.08,NSIC Rc222,6.71,1.01
2016,3738.97,34.46,23.16,89.62,9.07,37.21,6.19,252.4,166.05,311.18,729.63,Rc160,5.63,0.92
2017,4041.1,35.11,22.68,88.21,9.44,37.79,6.16,282.56,204.35,368.55,855.46,PSB Rc82,7.27,0.95
2018,3957.89,34.63,22.71,91.04,9.42,40.75,6.18,321.13,197.16,405.68,923.97,IR64,2.85,1.03
2019,4289.37,34.33,23.24,89.08,9.34,40.8,6.17,309.47,216.17,371.85,897.49,Rc160,7.4,0.86
2020,4002.14,34.2,22.53,91.69,8.69,39.85,6.25,302.73,239.29,423.54,965.56,Tubigan 18,4.62,1.21
