Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3675.25,35.99,23.58,78.74,9.12,41.84,6.46,183.5,113.97,203.61,501.08,Rc160,6.92,0.78
2011,3630.25,35.53,23.89,81.32,8.92,43.3,6.38,194.3,132.71,234.0,561.01,Tubigan 18,5.05,1.03
2012,3457.12,36.51,24.49,80.25,9.96,41.62,6.38,195.13,140.48,246.8,582.42,PSB Rc82,6.74,0.95
2013,3799.35,36.58,24.01,79.32,9.53,43.6,6.39,198.65,142.98,304.48,646.11,Rc160,6.75,0.82
2014,3866.35,36.06,23.92,80.77,9.35,42.5,6.46,227.94,159.08,275.81,662.84,NSIC Rc222,2.43,1.08
2015,4217.06,36.94,24.37,78.56,9.6,40.03,6.37,240.62,158.76,292.26,691.63,PSB Rc82,7.62,0.89
2016,4035.87,36.74,24.28,78.49,9.56,42.88,6.36,284.49,192.34,336.16,812.99,Tubigan 18,6.81,1.04
2017,4072.64,35.0,24.39,80.4,9.08,41.3,6.48,278.99,176.64,336.13,791.76,NSIC Rc222,4.19,1.11
2018,4040.37,35.6,23.94,80.83,9.04,43.33,6.48,280.19,202.88,372.9,855.97,PSB Rc82,6.09,1.05
2019,4405.59,36.46,23.89,80.75,9.97,42.65,6.32,296.0,228.6,384.45,909.05,Tubigan 18,2.2,1.15
2020,4504.98,35.91,23.72,78.61,9.17,40.47,6.4,323.66,233.77,397.13,954.56,Rc160,3.66,0.97
