Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,4156.32,30.23,24.72,82.88,8.14,29.72,6.58,158.2,104.69,208.47,471.36,PSB Rc82,8.85,0.79
2011,4167.24,30.15,24.84,80.76,7.74,28.14,6.57,194.05,133.44,227.06,554.55,NSIC Rc222,6.85,0.9
2012,4035.69,29.87,25.36,81.24,7.11,28.15,6.67,202.75,127.23,260.51,590.49,IR64,8.59,0.81
2013,4261.22,29.66,24.56,81.27,7.55,28.81,6.52,238.43,147.56,297.37,683.36,IR64,11.07,0.76
2014,4008.27,30.6,25.37,82.69,7.99,28.98,6.6,223.54,143.3,302.55,669.39,IR64,8.85,0.91
2015,4473.63,30.9,25.16,80.56,7.38,28.12,6.7,248.98,183.25,323.18,755.41,NSIC Rc222,8.39,0.91
2016,4398.07,29.96,25.28,81.92,7.66,28.9,6.56,261.66,162.76,342.41,766.82,PSB Rc82,11.29,0.86
2017,4431.96,29.56,24.77,81.35,7.28,31.77,6.69,278.43,209.87,342.18,830.48,Rc160,12.37,0.76
2018,4906.47,30.39,24.5,82.22,7.56,28.21,6.67,323.54,210.74,384.05,918.33,Rc160,6.09,0.83
2019,4977.14,29.86,24.64,82.47,7.27,30.54,6.59,315.11,216.97,410.87,942.95,IR64,7.24,0.85
2020,4812.83,30.57,25.2,82.49,7.5,30.45,6.5,366.73,211.09,403.26,981.08,PSB Rc82,9.1,0.93
