Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1911.64,31.13,21.81,85.23,7.53,34.72,5.92,164.78,125.13,240.41,530.32,PSB Rc82,10.24,1.0
2011,2046.57,32.02,21.87,83.79,7.87,31.14,5.93,207.15,124.93,219.05,551.12,PSB Rc82,5.62,1.16
2012,2168.83,30.64,21.66,83.58,8.26,32.23,6.06,203.62,149.35,257.71,610.68,PSB Rc82,9.81,1.1
2013,2332.62,31.94,22.21,84.22,8.2,32.84,6.06,231.81,138.58,288.47,658.85,NSIC Rc222,5.76,1.35
2014,2211.15,31.02,22.1,85.11,8.38,33.33,5.98,234.98,155.5,307.71,698.18,Tubigan 18,7.16,1.37
2015,2257.81,31.15,22.4,82.99,7.73,32.92,5.93,267.78,166.94,362.5,797.22,Tubigan 18,9.15,1.31
2016,2374.11,32.37,22.34,83.42,8.79,33.62,6.0,301.18,185.71,335.9,822.79,Tubigan 18,7.73,1.42
2017,2511.3,30.76,21.85,84.6,7.8,34.86,6.04,280.87,195.49,363.53,839.88,PSB Rc82,10.16,1.27
2018,2282.04,32.02,21.64,85.03,7.89,31.4,6.04,289.78,215.35,359.15,864.29,IR64,9.04,1.26
2019,2549.05,32.13,21.99,84.99,8.27,34.33,6.02,296.02,202.46,447.6,946.07,Tubigan 18,6.58,1.6
2020,2575.02,32.17,22.07,84.31,7.92,32.44,6.06,361.63,231.47,476.76,1069.85,Tubigan 18,9.92,1.48
